Gene_ID,Gene,Immature_Ery
ENSGALG00010001070.1,C3orf33,3
ENSGALG00010001082.1,P2RY1,161
ENSGALG00010001104.1,MBNL1,619
ENSGALG00010001111.1,SUCNR1,83
ENSGALG00010001112.1,TSC22D2,25
ENSGALG00010001113.1,IGSF10,54
ENSGALG00010001114.1,MED12L,157
ENSGALG00010001115.1,PFN2,106
ENSGALG00010001116.1,RNF13,38
ENSGALG00010001117.1,P2RY13,0
ENSGALG00010001118.1,P2RY12,0
ENSGALG00010001119.1,COMMD2,3
ENSGALG00010001120.1,GPR87,0
ENSGALG00010001121.1,WWTR1,6
ENSGALG00010001122.1,P2RY14,0
ENSGALG00010001123.1,CP,0
ENSGALG00010001124.1,GPR171,0
ENSGALG00010001125.1,CLRN1,7
ENSGALG00010001126.1,MINDY4B,8
ENSGALG00010001127.1,SIAH2,17
ENSGALG00010001128.1,ERICH6,11
ENSGALG00010001129.1,TM4SF4,0
ENSGALG00010001130.1,ENSGALG00010001130.1,40
ENSGALG00010001131.1,HPS3,17
ENSGALG00010001132.1,SELENOT,7
ENSGALG00010001133.1,EIF2A,21
ENSGALG00010001134.1,ENSGALG00010001134.1,0
ENSGALG00010001135.1,GYG1,18
ENSGALG00010001136.1,SERP1,85
ENSGALG00010001137.1,OTOL1,0
ENSGALG00010001138.1,SPTSSB,0
ENSGALG00010001139.1,ENSGALG00010001139.1,0
ENSGALG00010001140.1,NMD3,0
ENSGALG00010001141.1,MTAP,0
ENSGALG00010001142.1,PPM1L,0
ENSGALG00010001143.1,CDKN2A,0
ENSGALG00010001144.1,CDKN2B,0
ENSGALG00010001145.1,TRIM36,5
ENSGALG00010001146.1,DIPK1C,0
ENSGALG00010001147.1,PGGT1B,5
ENSGALG00010001148.1,C18orf63,0
ENSGALG00010001149.1,CIDEA,0
ENSGALG00010001150.1,ENSGALG00010001150.1,0
ENSGALG00010001151.1,CCDC112,0
ENSGALG00010001152.1,FEM1C,3
ENSGALG00010001153.1,TSHZ1,0
ENSGALG00010001154.1,PTGR3,6
ENSGALG00010001155.1,CYB5A,425
ENSGALG00010001156.1,ALDH7A1,0
ENSGALG00010001157.1,TIMM21,12
ENSGALG00010001158.1,FRMPD1,13
ENSGALG00010001159.1,RTTN,0
ENSGALG00010001160.1,TRMT10B,13
ENSGALG00010001161.1,B3GALNT1,0
ENSGALG00010001162.1,ENSGALG00010001162.1,0
ENSGALG00010001163.1,ARL14,0
ENSGALG00010001164.1,KPNA4,425
ENSGALG00010001165.1,ENSGALG00010001165.1,42
ENSGALG00010001166.1,TRIM59,208
ENSGALG00010001167.1,SMC4,40
ENSGALG00010001168.1,DOK6,1
ENSGALG00010001169.1,ENSGALG00010001169.1,1
ENSGALG00010001170.1,DCAF10,28
ENSGALG00010001171.1,POLR1E,37
ENSGALG00010001172.1,TMEM200C,0
ENSGALG00010001173.1,IFT80,20
ENSGALG00010001174.1,ENSGALG00010001174.1,14
ENSGALG00010001175.1,ENSGALG00010001175.1,0
ENSGALG00010001176.1,IL12A,0
ENSGALG00010001177.1,SEH1L,0
ENSGALG00010001178.1,ZBTB5,29
ENSGALG00010001179.1,GRHPR,11
ENSGALG00010001180.1,SPIRE1,8
